reference,speaker1_institution,speaker1_name,speaker1_email,speaker2_institution,speaker2_name,speaker2_email
The United Jackals,בן גוריון,דובר 1 קבוצה 1,testmail1@mailservice.com,בר אילן,דובר 2 קבוצה 1,testmail21@mailservice.com
The Major Cubs,בר אילן,דובר 1 קבוצה 2,testmail2@mailservice.com,בר אילן,דובר 2 קבוצה 2,testmail22@mailservice.com
The Magic Boomerangs,רייכמן,דובר 1 קבוצה 3,testmail3@mailservice.com,רייכמן,דובר 2 קבוצה 3,testmail23@mailservice.com
The Silent Rockets,העברית,דובר 1 קבוצה 4,testmail4@mailservice.com,העברית,דובר 2 קבוצה 4,testmail24@mailservice.com
The Golden Ghosts,וייצמן,דובר 1 קבוצה 5,testmail5@mailservice.com,וייצמן,דובר 2 קבוצה 5,testmail25@mailservice.com
The Infamous Zombies,טכניון,דובר 1 קבוצה 6,testmail6@mailservice.com,טכניון,דובר 2 קבוצה 6,testmail26@mailservice.com
The Thunder Orcas,תל אביב,דובר 1 קבוצה 7,testmail7@mailservice.com,תל אביב,דובר 2 קבוצה 7,testmail27@mailservice.com
The Fast Marvels,המכללה למנהל,דובר 1 קבוצה 8,testmail8@mailservice.com,המכללה למנהל,דובר 2 קבוצה 8,testmail28@mailservice.com
The Clever Beasts,הפתוחה,דובר 1 קבוצה 9,testmail9@mailservice.com,הפתוחה,דובר 2 קבוצה 9,testmail29@mailservice.com
The Giant Legends,RRIS,דובר 1 קבוצה 10,testmail10@mailservice.com,RRIS,דובר 2 קבוצה 10,testmail30@mailservice.com
The Skeleton Crickets,חיפה,דובר 1 קבוצה 11,testmail11@mailservice.com,חיפה,דובר 2 קבוצה 11,testmail31@mailservice.com
The Cheetahs,בראודה,דובר 1 קבוצה 12,testmail12@mailservice.com,בראודה,דובר 2 קבוצה 12,testmail32@mailservice.com
The Warthogs,בן גוריון,דובר 1 קבוצה 13,testmail13@mailservice.com,בן גוריון,דובר 2 קבוצה 13,testmail33@mailservice.com
The Free Toucans,בר אילן,דובר 1 קבוצה 14,testmail14@mailservice.com,בר אילן,דובר 2 קבוצה 14,testmail34@mailservice.com
The Regal Gusts,רייכמן,דובר 1 קבוצה 15,testmail15@mailservice.com,רייכמן,דובר 2 קבוצה 15,testmail35@mailservice.com
The Flying Crocs,העברית,דובר 1 קבוצה 16,testmail16@mailservice.com,העברית,דובר 2 קבוצה 16,testmail36@mailservice.com
The Magic Crunchers,וייצמן,דובר 1 קבוצה 17,testmail17@mailservice.com,וייצמן,דובר 2 קבוצה 17,testmail37@mailservice.com
The Exalted Heroes,טכניון,דובר 1 קבוצה 18,testmail18@mailservice.com,טכניון,דובר 2 קבוצה 18,testmail38@mailservice.com
The Lucky Cranes,תל אביב,דובר 1 קבוצה 19,testmail19@mailservice.com,תל אביב,דובר 2 קבוצה 19,testmail39@mailservice.com
The Careless Droids,המכללה למנהל,דובר 1 קבוצה 20,testmail20@mailservice.com,המכללה למנהל,דובר 2 קבוצה 20,testmail40@mailservice.com
